name,lattice constants a,lattice constants b,lattice constants c,atomic radii (empirical),atomic radii (clementi),ionic radii (pauling),ionic radii (shannon),covalent radii,covalent radii (sigle bond),covalent radii (double bond),Van der Waals radius,metal radii (waber),valence electron distance (schubert),core electron distance (schubert),pseudo-potential radii (zunger),first ionization energy,second ionization energy,third ionization energy,electronic affinity,atomization enthalpy,vaporization enthalpy,fusion enthalpy,cohesive energy (Brewer),total energy,electron number,valence electron number,s,p,d,f,effective nuclear charge (slater),effective nuclear charge (clementi),periodic number,group number,electronegativity (martynov&batsanov),electronegativity (pauling),electronegativity (alfred-rochow),modulus compression,thermal conductivity,specific heat,temperature melting,temperature boiling,"atomic volume(villars,daams)","atomic weight(villars,daams)",atomic density,Orbital energy 1s,Orbital energy 2s,Orbital energy 2p,Orbital energy 3s,Orbital energy 3p,Orbital energy 3d,Orbital energy 4s,Orbital energy 4p,Orbital energy 4d,Orbital energy 4f,Orbital energy 5s,Orbital energy 5p,Orbital energy 5d,Orbital energy 5f,Orbital energy 6s,Orbital energy 6p,Orbital energy 6d,Orbital energy 6f,Orbital energy 7s,lowest energy of the atomic orbitals,2nd lowest energy of the atomic orbitals,3rd lowest energy of the atomic orbitals,4th lowest energy of the atomic orbitals,5th lowest energy of the atomic orbitals,6th lowest energy of the atomic orbitals,7th lowest energy of the atomic orbitals,8th lowest energy of the atomic orbitals
abbrTex,$a$,$b$,$c$,$r_{ae}$,$r_{ac}$,$r_{ip}$,$r_{is}$,$r_{c}$,$r_{csb}$,$r_{cdb}$,$r_{vdw}$,$r_m$,$d_{ve}$,$d_{ce}$,$r_{pp}$,$IE_1$,$IE_2$,$IE_3$,$EA$,$H_a$,$H_v$,$H_f$,$E_{coh}$,$E_{tot}$,$e$,$VEC$,$s$,$p$,$d$,$f$,$N_{cs}$,$N_{cc}$,$N_p$,$N_g$,$\chi_m$,$\chi_p$,$\chi_a$,$E_p$,$T_c$,$H_s$,$T_m$,$T_b$,$V_a$,$m$,$\rho_a$,$OB_{1s}$,$OB_{2s}$,$OB_{2p}$,$OB_{3s}$,$OB_{3p}$,$OB_{3d}$,$OB_{4s}$,$OB_{4p}$,$OB_{4d}$,$OB_{4f}$,$OB_{5s}$,$OB_{5p}$,$OB_{5d}$,$OB_{5f}$,$OB_{6s}$,$OB_{6p}$,$OB_{6d}$,$OB_{6f}$,$OB_{7s}$,$E_{low}$,$E_{low2}$,$E_{low3}$,$E_{low4}$,$E_{low5}$,$E_{low6}$,$E_{low7}$,$E_{low8}$
abbr,a,b,c,rae,rac,rip,ris,rc,rcsb,rcdb,rvdw,rm,dve,dce,rpp,IE1,IE2,IE3,EA,Ha,Hv,Hf,Ecoh,Etot,e,VEC,s,p,d,f,Ncs,Ncc,Np,Ng,Xm,Xp,Xa,Ep,Tc,Hs,Tm,Tb,Va,m,rho_a,OB_1s,OB_2s,OB_2p,OB_3s,OB_3p,OB_3d,OB_4s,OB_4p,OB_4d,OB_4f,OB_5s,OB_5p,OB_5d,OB_5f,OB_6s,OB_6p,OB_6d,OB_6f,OB_7s,Elow,Elow2,Elow3,Elow4,Elow5,Elow6,Elow7,Elow8
H,0.47,0.47,0.34,0.25,0.53,0,0,0.31,0.32,0,1.2,0.78,1.86,1.86,1.25,1.3645,0,0,0.754195,0.2267,0.0005,0.006,0.23,0.1121,0.01,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,2.1,2.2,2.2,0.002,0.001805,1.43,0.014,0.02028,0.1902,0.0100794,0.00000899,0.000233471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233471,0,,0,0,0,0,0
He,0.4242,0.4242,0.4242,0,0.31,0.04,0,0.28,0.46,0,1.43,0.8,1.76,1.76,0.2,2.4672,5.46,0,-0.52,0,0.0001,0,0.001,0,0.02,0.2,0.2,0,0,0,0.17,0.169,0.1,0.8,0.05,0.05,0.05,0,0.001513,0.51931,0.00095,0.00422,0.1906,0.040026,0.00001785,0.057042527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7042527,0,0,0,0,0,0,0
Li,0.351,0.351,0.351,1.45,1.67,0.6,0.76,1.28,1.33,1.24,2.12,1.562,3.06,1.75,1.61,0.541,7.5899,12.2876,0.618049,0.1658,0.1536,0.031,0.163,0.1908,0.03,0.1,0.1,0,0,0,0.13,0.128,0.2,0.1,0.9,0.98,0.97,0.116,0.85,0.357,0.453,1.62,0.2162,0.06941,0.0535,0.019376409,0.001194721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1194721,1.9376409,0,0,0,0,0,0
Be,0.22858,0.22858,0.35843,1.05,1.12,0.3,0.45,0.96,1.02,0.9,1.98,1.128,1.8,1.33,1.08,0.9354,1.8273,15.4419,-0.52,0.3373,0.3212,0.083,0.332,0.3743,0.04,0.2,0.2,0,0,0,0.195,0.191,0.2,0.2,1.45,1.57,1.47,1.003,1.9,0.182,1.55,3.243,0.0811,0.0901218,0.1848,0.039403019,0.02057513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057513,3.9403019,0,0,0,0,0,0
B,0.506,0.506,0.506,0.85,0.87,0.2,0.27,0.85,0.85,0.78,1.91,0.98,1.51,1.16,0.795,0.8326,2.5241,3.8064,0.279723,0.5852,0.5247,0.52,0.577,0.6678,0.05,0.3,0.2,0.1,0,0,0.26,0.242,0.2,0.3,1.9,2.04,2.01,1.78,0.27,0.103,2.573,3.931,0.0789,0.10811,0.246,0.656435015,0.034470117,0.013660343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3660343,3.4470117,0.656435015,0,0,0,0,0
C,0.2464,0.2464,0.6711,0.7,0.67,0.15,0.16,0.76,0.75,0.67,1.77,0.916,1.41,1,0.64,1.1299,2.4471,4.8048,1.2621226,0.7454,0.7393,1.092,0.737,0.9224,0.06,0.4,0.2,0.2,0,0,0.325,0.314,0.2,0.4,2.37,2.55,2.5,5.45,1.4,0.071,3.82,5.1,0.0882,0.120107,0.226,0.994772278,0.050088425,0.01991861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.991861,5.0088425,0.994772278,0,0,0,0,0
N,0.3861,0.3861,0.6265,0.65,0.56,0.12,0.16,0.71,0.71,0.6,1.66,0.88,1.33,1.03,0.54,1.4584,2.9702,4.7611,-0.000725,0.4916,0.0058,0.004,0.492,0.4634,0.07,0.5,0.2,0.3,0,0,0.39,0.383,0.2,0.5,2.85,3.04,3.07,0.012,0.0002583,0.104,0.063,0.0774,0.1289,0.140067,0.0001251,1.401150773,0.067751033,0.026681085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6681085,6.7751033,1.401150773,0,0,0,0,0
O,0.5403,0.3429,0.5086,0.6,0.48,0.1,0.1,0.66,0.63,0.57,1.5,0.89,1.2,0.85,0.465,1.3665,3.5235,5.512,1.4611136,0.2592,0.0071,0.002,0.26,0.4935,0.08,0.6,0.2,0.4,0,0,0.455,0.445,0.2,0.6,3.32,3.44,3.5,0.011,0.0002658,0.0919,0.055,0.09019,0.1736,0.159994,0.0001429,0.191024628,0.087136314,0.033838116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3838116,8.7136314,0.191024628,0,0,0,0,0
