,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,5f,6s,6p,6d,6f,7s
H,22.45,,,,,,,,,,,,,,,,,,
He,54.85,,,,,,,,,,,,,,,,,,
Li,18.63,1.15,,,,,,,,,,,,,,,,,
Be,37.89,19.78,,,,,,,,,,,,,,,,,
B,631.19,33.14,13.13,,,,,,,,,,,,,,,,
C,956.51,48.16,19.15,,,,,,,,,,,,,,,,
N,1347.26,65.15,25.65,,,,,,,,,,,,,,,,
O,183.68,83.78,32.54,,,,,,,,,,,,,,,,
F,2325.93,14.56,39.96,,,,,,,,,,,,,,,,
Ne,2914.25,127.19,47.89,,,,,,,,,,,,,,,,
Na,3626.93,198.44,11.98,9.94,,,,,,,,,,,,,,,
Mg,442.5,279.26,165.29,16.87,,,,,,,,,,,,,,,
Al,533.47,378.35,246.54,27.58,9.87,,,,,,,,,,,,,,
Si,6267.73,487.99,337.97,38.28,14.74,,,,,,,,,,,,,,
P,7313.64,68.6,44.59,49.27,19.82,,,,,,,,,,,,,,
S,8441.35,74.38,553.55,6.66,25.16,,,,,,,,,,,,,,
Cl,965.89,883.47,676.92,72.54,3.86,,,,,,,,,,,,,,
Ar,1942.33,137.91,811.87,84.95,36.76,,,,,,,,,,,,,,
K,12347.59,1234.52,988.83,123.26,66.79,,8.54,,,,,,,,,,,,
Ca,13839.92,1446.82,1181.29,164.73,99.93,,13.6,,,,,,,,,,,,
Sc,1542.32,1654.47,1369.23,191.19,118.57,12.64,15.46,,,,,,,,,,,,
Ti,1745.83,187.95,1565.9,217.12,136.82,16.35,16.68,,,,,,,,,,,,
V,18771.54,297.63,1772.61,242.97,154.86,19.68,16.92,,,,,,,,,,,,
Cr,2565.5,2318.62,1973.69,254.72,159.66,11.36,14.47,,,,,,,,,,,,
Mn,2247.86,2583.33,2217.91,295.83,191.49,25.63,18.38,,,,,,,,,,,,
Fe,24444.77,2842.78,2456.96,323.14,21.34,28.38,19.36,,,,,,,,,,,,
Co,2651.6,3113.44,276.93,351.14,229.64,4,19.66,,,,,,,,,,,,
Ni,28641.43,3395.4,2968.8,379.88,249.44,33.53,2.27,,,,,,,,,,,,
Cu,3845.5,3667.43,3219.36,39.14,25.89,19.45,16.54,,,,,,,,,,,,
Zn,3317.17,3993.4,3523.92,439.72,29.61,38.36,21.42,,,,,,,,,,,,
Ga,35593.34,4346.24,3855.13,54.43,344.68,7.79,31.54,9.77,,,,,,,,,,,
Ge,3815.95,4716.85,423.86,573.22,43.35,17.43,41.12,14.41,,,,,,,,,,,
As,475.45,515.14,4569.99,647.19,466.51,148.34,5.35,19,,,,,,,,,,,
Se,43394.26,551.76,4953.37,725.7,533.99,193.44,59.74,23.64,,,,,,,,,,,
Br,46171.48,5933.66,5353.65,88.56,65.65,242.52,69.24,28.4,,,,,,,,,,,
Kr,4936.83,6373.65,577.9,895.69,681.47,295.59,78.91,33.32,,,,,,,,,,,
Rb,5215.17,6854.92,6229.3,11.95,785.14,376.49,19.14,56.94,,,8.29,,,,,,,,
Sr,5583.68,7354.98,676.34,1131.88,894.5,462.84,139.93,81.29,,,12.67,,,,,,,,
Y,58233.84,7864.34,7192.62,1249.25,999.99,545.34,163.19,98.59,1.45,,14.49,,,,,,,,
Zr,6147.47,8388.18,7693.27,1368.32,117.16,629.29,184.52,114.96,14.49,,15.61,,,,,,,,
Nb,64784.86,8917.39,8199.25,148.17,127.53,75.75,195.84,12.2,12.43,,13.87,,,,,,,,
Mo,68195.4,9471.54,8729.96,163.99,1318.73,794.12,214.89,133.66,14.74,,14.22,,,,,,,,
Tc,7175.96,154.57,9289.44,1743.78,1446.33,898.63,245.27,158.29,25.99,,17.66,,,,,,,,
Ru,7528.64,1628.47,9839.77,1862.18,1552.42,98.35,252.73,16.34,2.23,,14.7,,,,,,,,
Rh,78955.46,11231.44,1419.63,1996.69,1674.55,178.58,271.68,173.7,23.21,,14.87,,,,,,,,
Pd,8275.28,11837.27,11.8,2121.24,1786.62,1166.56,277.86,174.54,15.46,,,,,,,,,,
Ag,86569.68,12486.52,11626.28,2276.77,1929.58,1285.37,39.91,2.63,28.72,,15.14,,,,,,,,
Cd,9526.66,13156.97,12272.68,244.38,28.54,1412.43,345.78,23.31,45.24,,19.64,,,,,,,,
In,94581.49,13853.69,12945.81,2617.37,2244.79,1551.97,39.64,268.83,7.24,,27.93,9.79,,,,,,,
Sn,98727.13,14569.61,13636.64,28.57,2415.18,1697.82,437.15,38.85,96.63,,35.51,13.89,,,,,,,
Sb,12963.8,1534.98,14347.53,299.22,2591.95,1849.99,485.54,35.63,124.74,,42.85,17.85,,,,,,,
Te,17291.52,1659.79,1577.75,3186.3,2775.66,28.44,535.86,394.24,154.65,,5.96,21.79,,,,,,,
I,11171.29,16834.2,15827.29,3388.78,2964.53,2173.14,588.59,439.67,186.36,,57.34,25.76,,,,,,,
Xe,11622.95,17627.64,16596.11,3597.64,316.29,2344.66,642.15,486.94,219.87,,64.62,29.79,,,,,,,
Cs,1284.27,18459.8,1743.4,3831.88,3381.39,254.24,716.92,554.74,273.88,,88.6,48.55,,,7.57,,,,
Ba,125552.24,19311.97,1823.62,473.23,369.32,2743.17,793.95,624.77,33.42,,111.27,67.17,,,11.44,,,,
La,13348.31,2176.72,1969.73,4313.14,3836.14,2944.87,865.44,689.24,38.58,,127.4,79.28,13.57,,12.71,,,,
Ce,13526.57,2127.39,19896.65,4522.62,432.53,3116.59,96.99,724.25,43.13,32.45,131.75,81.74,13.51,,12.88,,,,
Pr,14128.66,21867.92,2713.3,474.33,421.27,326.96,92.98,732.3,399.45,14.92,124.63,74.81,,,11.97,,,,
Nd,145163.36,22751.35,21572.29,4919.35,443.18,3437.93,961.62,766.14,42.87,17.26,128.36,76.78,,,12.96,,,,
Pm,15286.57,23651.14,22447.67,5137.43,467.81,3617.84,12.19,8.48,442.21,19.25,131.95,78.63,,,12.22,,,,
Sm,155498.46,24567.2,23339.4,5358.76,4815.79,38.83,142.76,833.91,462.98,2.94,135.44,8.38,,,12.33,,,,
Eu,16798.97,25499.96,24247.76,5583.47,527.11,3987.69,183.44,867.83,483.89,22.38,138.85,82.75,,,12.44,,,,
Gd,166213.96,26477.22,252.16,5842.73,5272.79,427.17,1152.55,929.79,531.97,47.24,154.66,94.11,12.23,,13.81,,,,
Tb,171666.53,27415.48,26114.48,643.42,546.17,4369.62,1165.43,936.12,525.74,24.65,145.55,85.32,,,12.66,,,,
Dy,177233.61,28398.35,2772.94,6278.79,5681.92,4566.29,126.85,97.59,546.76,25.6,148.84,86.87,,,12.77,,,,
Ho,182889.67,29398.94,2848.17,6517.84,597.34,4765.96,1248.66,15.32,567.93,26.22,152.12,88.5,,,12.87,,,,
Er,188634.54,3414.48,294.22,676.6,6136.49,4969.44,129.73,14.34,589.18,26.79,155.39,89.92,,,12.97,,,,
Tm,194468.42,31447.8,349.97,77.92,6369.17,5176.49,1333.24,175.69,61.66,27.22,158.65,91.42,,,13.72,,,,
Yb,2391.29,32497.98,3174.83,7257.37,665.64,5387.15,1376.16,1111.37,632.28,27.54,161.91,92.9,,,13.17,,,,
Lu,26431.28,33595.24,32147.22,7544.46,6878.73,5633.95,145.32,1177.97,683.98,54.62,18.83,16.92,9.97,,14.91,,,,
Hf,212562.69,34712.17,33239.14,7838.73,7158.99,5887.64,1527.27,1247.23,738.14,83.85,197.99,119.86,13.83,,16.63,,,,
Ta,218785.71,35848.92,3435.81,814.24,7446.24,6148.32,167.52,1319.21,794.79,115.32,213.83,132.36,17.54,,16.89,,,,
W,2251.28,375.4,35482.11,8448.83,774.59,6415.84,1689.5,1393.76,853.82,149.12,23.39,144.66,21.21,,17.44,,,,
Re,23156.35,38181.51,36632.97,8764.35,841.79,669.74,1774.45,147.73,915.78,185.14,246.86,156.85,24.87,,17.97,,,,
